127.0.0.1 - - [21/May/2023:22:18:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/May/2023:22:18:10 +0900] "GET /ReservationSystem/page/main.jsp HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [21/May/2023:22:18:10 +0900] "GET /ReservationSystem/css/topbar.css HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [21/May/2023:22:18:10 +0900] "GET /ReservationSystem/css/main.css HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [21/May/2023:22:18:12 +0900] "GET /ReservationSystem/page/loginForm.jsp HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [21/May/2023:22:18:12 +0900] "GET /ReservationSystem/css/form.css HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [21/May/2023:22:18:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2023:22:18:19 +0900] "POST /ReservationSystem/process/loginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2023:22:18:19 +0900] "GET /ReservationSystem/page/loginForm.jsp HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [21/May/2023:22:18:20 +0900] "GET /ReservationSystem/page/main.jsp HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [21/May/2023:22:18:21 +0900] "GET /ReservationSystem/page/history.jsp HTTP/1.1" 200 4486
0:0:0:0:0:0:0:1 - - [21/May/2023:22:18:21 +0900] "GET /ReservationSystem/css/paging.css HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [21/May/2023:22:18:21 +0900] "GET /ReservationSystem/css/history.css HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [21/May/2023:22:18:30 +0900] "POST /ReservationSystem/process/reservationDeleteProcess.jsp HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [21/May/2023:22:18:31 +0900] "GET /ReservationSystem/page/history.jsp HTTP/1.1" 200 4486
0:0:0:0:0:0:0:1 - - [21/May/2023:22:18:36 +0900] "GET /ReservationSystem/page/history.jsp HTTP/1.1" 200 4486
0:0:0:0:0:0:0:1 - - [21/May/2023:23:35:07 +0900] "GET /ReservationSystem/page/main.jsp HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [21/May/2023:23:35:07 +0900] "GET /ReservationSystem/css/main.css HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [21/May/2023:23:35:08 +0900] "GET /ReservationSystem/page/loginForm.jsp HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [21/May/2023:23:35:08 +0900] "GET /ReservationSystem/css/form.css HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [21/May/2023:23:35:19 +0900] "GET /ReservationSystem/page/main.jsp HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [21/May/2023:23:35:20 +0900] "GET /ReservationSystem/page/loginForm.jsp HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [21/May/2023:23:35:32 +0900] "POST /ReservationSystem/process/loginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2023:23:35:32 +0900] "GET /ReservationSystem/page/loginForm.jsp HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [21/May/2023:23:35:33 +0900] "GET /ReservationSystem/page/main.jsp HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [21/May/2023:23:35:34 +0900] "GET /ReservationSystem/page/history.jsp HTTP/1.1" 200 4486
0:0:0:0:0:0:0:1 - - [21/May/2023:23:35:34 +0900] "GET /ReservationSystem/css/history.css HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [21/May/2023:23:35:34 +0900] "GET /ReservationSystem/css/paging.css HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [21/May/2023:23:35:36 +0900] "GET /ReservationSystem/page/reserveDate.jsp?fid=1 HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [21/May/2023:23:35:36 +0900] "GET /ReservationSystem/css/reserve.css HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [21/May/2023:23:35:38 +0900] "GET /ReservationSystem/page/review.jsp?fid=1 HTTP/1.1" 500 3253
