127.0.0.1 - - [26/Apr/2023:23:28:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Apr/2023:23:28:20 +0900] "GET /MustHaveJSP/08Board/List.jsp HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [26/Apr/2023:23:28:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Apr/2023:23:28:22 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [26/Apr/2023:23:28:25 +0900] "POST /MustHaveJSP/06Session/LoginProcess.jsp HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [26/Apr/2023:23:28:30 +0900] "POST /MustHaveJSP/06Session/LoginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Apr/2023:23:28:30 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [26/Apr/2023:23:28:31 +0900] "GET /MustHaveJSP/08Board/List.jsp HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [26/Apr/2023:23:28:38 +0900] "GET /MustHaveJSP/08Board/View.jsp?num=6 HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [26/Apr/2023:23:28:40 +0900] "GET /MustHaveJSP/08Board/Edit.jsp?num=6 HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [26/Apr/2023:23:29:04 +0900] "POST /MustHaveJSP/08Board/EditProcess.jsp HTTP/1.1" 500 2865
0:0:0:0:0:0:0:1 - - [26/Apr/2023:23:29:58 +0900] "GET /MustHaveJSP/08Board/List.jsp HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [26/Apr/2023:23:30:00 +0900] "GET /MustHaveJSP/08Board/View.jsp?num=6 HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [26/Apr/2023:23:30:01 +0900] "GET /MustHaveJSP/08Board/Edit.jsp?num=6 HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [26/Apr/2023:23:30:20 +0900] "POST /MustHaveJSP/08Board/EditProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Apr/2023:23:30:20 +0900] "GET /MustHaveJSP/08Board/View.jsp?num=6 HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [26/Apr/2023:23:30:25 +0900] "GET /MustHaveJSP/08Board/List.jsp HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [26/Apr/2023:23:30:27 +0900] "GET /MustHaveJSP/08Board/View.jsp?num=6 HTTP/1.1" 200 1708
